City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Desc
210,Waingapu,ID,-9.6567,120.2641,78.42,88,99,5.37,Clouds
211,Kachug,RU,53.9606,105.8817,22.39,77,100,13.2,Clouds
212,Cherskiy,RU,68.75,161.3,-19.7,88,98,2.28,Clouds
213,Santa Maria,BR,-29.6842,-53.8069,100.27,21,25,5.84,Clouds
214,Hithadhoo,MV,-0.6,73.0833,80.83,77,71,7.63,Clouds
215,Pacific Grove,US,36.6177,-121.9166,65.39,68,0,10.0,Clear
216,Hirara,JP,24.8,125.2833,55.15,72,100,28.23,Clouds
217,Kayes,ML,14.0,-11.0,87.03,14,100,10.85,Clouds
218,Half Moon Bay,US,37.4636,-122.4286,64.9,68,0,3.44,Clear
219,Oranjemund,NA,-28.55,16.4333,62.96,96,5,6.46,Clear
220,Etchoropo,MX,26.7667,-109.6667,67.01,35,100,12.48,Clouds
221,Isangel,VU,-19.55,169.2667,84.31,84,75,2.3,Clouds
222,Nipawin,CA,53.3668,-104.0009,-2.36,83,91,7.67,Clouds
223,Alofi,NU,-19.0595,-169.9187,81.34,75,95,16.02,Rain
224,Katsuura,JP,35.1333,140.3,35.69,65,14,11.72,Clouds
225,Darhan,MN,49.4867,105.9228,-6.39,88,6,7.78,Clear
226,Hino,JP,35.6731,139.4003,36.59,39,0,5.75,Clear
227,Champerico,GT,14.3,-91.9167,84.88,61,6,11.05,Clear
228,Gawler,AU,-34.6,138.7333,80.49,42,100,11.52,Clouds
229,Umm Kaddadah,SD,13.6017,26.6876,69.1,11,14,11.21,Clouds
230,Tilichiki,RU,60.4667,166.1,-1.34,97,100,15.37,Snow
231,Muros,ES,42.7762,-9.0603,45.09,81,14,11.54,Clouds
232,Suda,RU,59.1525,37.5582,-1.7,100,80,3.49,Clouds
233,Caravelas,BR,-17.7125,-39.2481,78.6,80,100,7.85,Clouds
234,Sitka,US,57.0531,-135.33,42.69,81,40,11.5,Rain
235,Opuwo,NA,-18.0607,13.84,70.88,66,72,8.39,Clouds
236,Kupang,ID,-10.1667,123.5833,77.88,87,99,6.64,Clouds
237,Vigrestad,NO,58.5667,5.7,37.58,81,99,5.12,Clouds
238,Pangody,RU,65.85,74.4859,7.43,96,83,11.39,Clouds
239,Longyearbyen,SJ,78.2186,15.6401,17.44,67,40,27.63,Snow
240,Daru,PG,-9.0763,143.2092,76.78,92,100,9.37,Clouds
241,Riyadh,SA,24.6877,46.7219,50.14,52,0,6.71,Clear
242,Vao,NC,-22.6667,167.4833,76.64,73,48,9.95,Clouds
243,Dhidhdhoo,MV,6.8833,73.1,79.99,73,14,9.89,Clouds
244,Broken Hill,AU,-31.95,141.4333,79.16,19,17,11.34,Clouds
245,Bonthe,SL,7.5264,-12.505,78.24,87,34,7.34,Clouds
246,Georgetown,MY,5.4112,100.3354,80.53,74,20,2.3,Clouds
247,Salinopolis,BR,-0.6136,-47.3561,76.1,87,100,5.61,Clouds
248,Farafangana,MG,-22.8167,47.8333,77.13,91,100,8.39,Rain
249,Fort Frances,CA,48.5999,-93.4003,9.16,79,100,20.71,Clouds
250,Samarai,PG,-10.6167,150.6667,82.67,77,90,12.26,Clouds
251,Talnakh,RU,69.4865,88.3972,-0.18,96,100,8.75,Clouds
252,Nova Olimpia,BR,-14.7972,-57.2881,75.76,93,100,6.15,Clouds
253,Russell,US,32.3502,-85.1999,55.4,32,0,5.75,Clear
254,Porbandar,IN,21.6422,69.6093,64.92,35,0,13.44,Clear
255,Vanimo,PG,-2.6741,141.3028,76.46,89,100,5.61,Clouds
256,Zhuhai,CN,22.2769,113.5678,53.38,43,0,25.32,Clear
257,Antananarivo,MG,-18.9137,47.5361,66.16,100,75,5.75,Drizzle
258,Ibra,OM,22.6906,58.5334,59.83,82,46,4.12,Rain
